article_no;short_desc;ean;oem
855328;Epson Tintenpatrone cyan SC (C13T12924010, T1292) ;8715946465494;C13T12924010
855330;Epson Tintenpatrone gelb SC (C13T12944010, T1294) ;8715946465555;C13T12944010
855329;Epson Tintenpatrone magenta SC (C13T12934010, T1293) ;8715946465524;C13T12934010
855327;Epson Tintenpatrone schwarz SC (C13T12914010, T1291) ;8715946465487;C13T12914010
855340;HP Tintendruckkopf schwarz HC (CH563EE, 301XL) ;884962894446;CH563EE
855339;HP Tintendruckkopf cyan/gelb/magenta HC (CH564EE, 301XL) ;884962894545;CH564EE
220930;Canon Tintenpatrone schwarz (4479A002, BCI-3EBK) ;4960999865300;4479A002
344900;Canon Tintenpatrone magenta (4707A002, BCI-6M) ;4960999864792;4707A002
344850;Canon Tintenpatrone gelb (4708A002, BCI-6Y) ;8714574960388;4708A002
344890;Canon Tintenpatrone cyan (4706A002, BCI-6C) ;8714574960562;4706A002
951589;Samsung Fixiereinheit (JC91-01080A) ;5711045606090;JC91-01080A
895788;Samsung Toner-Kit gelb, cyan, magenta, schwarz (CLT-P406C, P406C) ;8806085816572;CLT-P406C
878615;Samsung Toner-Kit schwarz (CLT-K406S, K406) ;8806085023642;CLT-K406S
878616;Samsung Toner-Kit magenta (CLT-M406S, M406) ;8806085023994;CLT-M406S
878617;Samsung Toner-Kit gelb (CLT-Y406S, Y406) ;8806085023635;CLT-Y406S
878614;Samsung Toner-Kit cyan (CLT-C406S, C406) ;8806085023871;CLT-C406S
